,init_cond,equilibrium,init_M,init_C,init_T
158,159.0,2.0,0.16000000000000003,0.51,0.32999999999999996
159,160.0,2.0,0.21000000000000002,0.51,0.27999999999999997
160,161.0,2.0,0.26,0.51,0.22999999999999998
161,162.0,2.0,0.31000000000000005,0.51,0.17999999999999994
162,163.0,2.0,0.36000000000000004,0.51,0.12999999999999995
163,164.0,2.0,0.41000000000000003,0.51,0.07999999999999996
164,165.0,2.0,0.46,0.51,0.02999999999999997
165,166.0,2.0,0.01,0.56,0.42999999999999994
166,167.0,2.0,0.060000000000000005,0.56,0.37999999999999995
167,168.0,2.0,0.11,0.56,0.32999999999999996
168,169.0,2.0,0.16000000000000003,0.56,0.2799999999999999
169,170.0,2.0,0.21000000000000002,0.56,0.22999999999999993
170,171.0,2.0,0.26,0.56,0.17999999999999994
171,172.0,2.0,0.31000000000000005,0.56,0.1299999999999999
172,173.0,2.0,0.36000000000000004,0.56,0.0799999999999999
173,174.0,2.0,0.41000000000000003,0.56,0.029999999999999916
174,175.0,2.0,0.01,0.6100000000000001,0.3799999999999999
175,176.0,2.0,0.060000000000000005,0.6100000000000001,0.3299999999999999
176,177.0,2.0,0.11,0.6100000000000001,0.2799999999999999
177,178.0,2.0,0.16000000000000003,0.6100000000000001,0.22999999999999987
178,179.0,2.0,0.21000000000000002,0.6100000000000001,0.17999999999999988
179,180.0,2.0,0.26,0.6100000000000001,0.1299999999999999
180,181.0,2.0,0.31000000000000005,0.6100000000000001,0.07999999999999985
181,182.0,2.0,0.36000000000000004,0.6100000000000001,0.02999999999999986
182,183.0,2.0,0.01,0.66,0.32999999999999996
183,184.0,2.0,0.060000000000000005,0.66,0.27999999999999997
184,185.0,2.0,0.11,0.66,0.22999999999999998
185,186.0,2.0,0.16000000000000003,0.66,0.17999999999999994
186,187.0,2.0,0.21000000000000002,0.66,0.12999999999999995
187,188.0,2.0,0.26,0.66,0.07999999999999996
188,189.0,2.0,0.31000000000000005,0.66,0.029999999999999916
189,190.0,2.0,0.01,0.7100000000000001,0.2799999999999999
190,191.0,2.0,0.060000000000000005,0.7100000000000001,0.22999999999999993
191,192.0,2.0,0.11,0.7100000000000001,0.17999999999999994
192,193.0,2.0,0.16000000000000003,0.7100000000000001,0.1299999999999999
193,194.0,2.0,0.21000000000000002,0.7100000000000001,0.0799999999999999
194,195.0,2.0,0.26,0.7100000000000001,0.029999999999999916
195,196.0,2.0,0.01,0.76,0.22999999999999998
196,197.0,2.0,0.060000000000000005,0.76,0.18
197,198.0,2.0,0.11,0.76,0.13
198,199.0,2.0,0.16000000000000003,0.76,0.07999999999999996
199,200.0,2.0,0.21000000000000002,0.76,0.02999999999999997
200,201.0,2.0,0.01,0.81,0.17999999999999994
201,202.0,2.0,0.060000000000000005,0.81,0.12999999999999995
202,203.0,2.0,0.11,0.81,0.07999999999999995
203,204.0,2.0,0.16000000000000003,0.81,0.029999999999999916
204,205.0,2.0,0.01,0.8600000000000001,0.1299999999999999
205,206.0,2.0,0.060000000000000005,0.8600000000000001,0.0799999999999999
206,207.0,2.0,0.11,0.8600000000000001,0.029999999999999902
207,208.0,2.0,0.01,0.91,0.07999999999999997
208,209.0,2.0,0.060000000000000005,0.91,0.029999999999999964
209,210.0,2.0,0.01,0.9600000000000001,0.029999999999999923
